Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Canales;TI001;24,5;23;5,3;6,56;Ausencia;Ausencia;Ausencia;Presencia;2200;100;130;2,9;0,42;0,23;0,15;6,2;29;90;0,1;0;0;0,01
Rios;TI006;25,4;23;2,25;6,56;Presencia;Presencia;Ausencia;Ausencia;1200;200;400;3,3;0,51;0,41;0,35;5,8;29;34;0,1;0;0;0,01
Canales;TI001;24,6;23;2,94;6,59;Ausencia;Presencia;Ausencia;Ausencia;1800;200;580;6,5;0,05;0,59;0,54;1,9;29;17;0,1;0;0;0,01
Rios;TI006;25,2;23;2,22;7,45;Presencia;Presencia;Ausencia;Ausencia;1400;100;300;7,4;1;0,38;0,4;5,8;29;23;0,1;0;0;0,01
Rios;TI006;24,1;20;1,02;6,39;Ausencia;Presencia;Ausencia;Presencia;1100;100;370;8,8;0,05;0,55;0,54;2,6;59;18;0,1;0;0;0,01
Rios;TI006;24,9;23;3,5;6,53;Ausencia;Ausencia;Ausencia;Presencia;3200;200;750;4,4;3,5;1,1;0,91;3,9;130;;0,1;0;0;0,01
Rios;TI006;24,5;20;1,5;6,54;Ausencia;Presencia;Ausencia;Presencia;18000;1500;100;5,6;2;0,73;0,6;3,5;42;12;0,09;0;0;0,01
Rios;TI006;24,5;21;6,3;6,48;Ausencia;Presencia;Ausencia;Ausencia;1000;200;1200;3,1;0,05;0,17;0,16;5,5;69;90;0,09;0;0;0,01
Arroyos;TI009;23,4;21;4,49;6,76;Ausencia;Ausencia;Ausencia;Ausencia;400;100;220;1,9;0,1;0,21;0,19;1,9;29;39;0,09;0;0;0,01
Costaneras;VL031;21,5;23;3,85;6,66;Ausencia;Ausencia;Ausencia;Presencia;2200;100;270;5,4;0,05;0,28;0,39;1,9;29;28;0,09;0;0;0,01
Reservas y Puertos;SI022;27;26;5,83;6,9;Ausencia;Ausencia;Ausencia;Ausencia;6000;800;760;5,9;0,75;0,22;0,18;1,9;41;19;0,09;0;0;0,01
